"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
9,-2.890145970769769,-1.8033378379136118,117.0453777232521,0.12258026582683468,0.0,7,20,260,7,20,260,18.326526165008545,250
10,-2.9490185259923933,-1.8491549212001477,119.81832663729324,0.12548434305917788,0.0,7,20,260,7,20,260,18.50699472427368,263
11,-3.0709825605534267,-1.896396802360866,122.93012990590526,0.12874329852047875,0.0,7,20,260,7,20,260,18.62470769882202,236
12,-3.1723011669489027,-1.945348068379813,126.37246563116372,0.13234841678376852,0.0,7,20,260,7,20,260,18.75905966758728,258
13,-3.2742798565874534,-1.9933049826813662,130.13362037715868,0.13628743050375935,0.0,7,20,260,7,20,260,18.87741208076477,241
14,-3.335214433721445,-2.033431223070982,134.1986167908378,0.14054465407267047,0.0,7,20,260,7,20,260,18.976390838623047,250
15,-3.4518359442339364,-2.0797578368960976,138.54936950818185,0.14510114689895395,0.0,7,20,260,7,20,260,19.04533576965332,249
16,-3.582977284727031,-2.149257466753894,143.16486779987332,0.1499349046899802,0.0,7,20,260,7,20,260,19.093292713165283,251
17,-3.6885727061923577,-2.238294354588586,148.02138318096274,0.15502107687922878,0.0,7,20,260,7,20,260,19.17574691772461,250
18,-3.8404182064596837,-2.3375428273880137,153.09269999650533,0.1603322081159465,0.0,7,20,260,7,20,260,19.26087760925293,250
19,-3.9535248065888338,-2.4288216322268203,158.35036680153695,0.16583850153247398,0.0,7,20,260,7,20,260,19.39329957962036,250
20,-4.093010770299885,-2.5127155358846665,163.76396618070208,0.17150810132320637,0.0,7,20,260,7,20,260,19.46181583404541,250
21,-4.265482243830409,-2.5846602453918432,169.3014005017737,0.17730739201093454,0.0,7,20,260,7,20,260,19.577062368392944,250
22,-4.461145383780528,-2.6576241071495135,174.9291909694392,0.1832013116423995,0.0,7,20,260,7,20,260,19.691587209701538,250
23,-4.540044607339563,-2.7232859722704577,180.6127872420752,0.18915367604634292,0.0,7,20,260,7,20,260,19.77714467048645,250
24,-4.675510645675693,-2.7847822203712163,186.31688479559614,0.19512751120497834,0.0,7,20,260,7,20,260,19.911173105239868,250
25,-4.8073321849014095,-2.8551969353166307,192.00574716538944,0.20108539073422396,0.0,7,20,260,7,20,260,20.076634883880615,250
26,-4.882787083916211,-2.9259968152807305,197.64353017017527,0.20698977543958388,0.0,7,20,260,7,20,260,20.24297046661377,250
27,-5.044516733050963,-3.002503983539727,203.19460522045313,0.21280335191332647,0.0,7,20,260,7,20,260,20.310606956481934,250
28,-5.205988739482336,-3.079140756610417,208.6238788388738,0.21848936716445716,0.0,7,20,260,7,20,260,20.377103090286255,250
29,-5.368551651771892,-3.157959898583612,213.89710557004747,0.22401195632552345,0.0,7,20,260,7,20,260,20.509835481643677,250
30,-5.4942994847770015,-3.234592688762621,218.981191532362,0.2293364605589069,0.0,7,20,260,7,20,260,20.56060266494751,250
31,-5.608744550945684,-3.3235371143674937,223.84448596353684,0.2344297323890939,0.0,7,20,260,7,20,260,20.791939973831177,250
32,-5.754002104113941,-3.406681307654542,228.45705823384841,0.2392604258154075,0.0,7,20,260,7,20,260,20.941611528396606,250
33,-5.879818466643117,-3.482670093403435,232.79095794501063,0.24379926871054203,0.0,7,20,260,7,20,260,21.159352779388428,249
34,-5.924756337243276,-3.55854631156696,236.82045589716685,0.2480193151824937,0.0,7,20,260,7,20,260,21.29227089881897,249
35,-6.028833436197212,-3.6126986386507656,240.522263889762,0.2518961757694592,0.0,7,20,260,7,20,260,21.558260679244995,251
36,-6.113424904298676,-3.6508410845666246,243.8757315224644,0.2554082235471539,0.0,7,20,260,7,20,260,21.725661993026733,250
37,-6.20147017629142,-3.6758803764972057,246.8630183779166,0.2585367744538064,0.0,7,20,260,7,20,260,21.859885215759277,251
38,-6.209155395784737,-3.702222915227411,249.46924019689064,0.26126624037769963,0.0,7,20,260,7,20,260,21.961342334747314,250
39,-6.318252340264225,-3.7327912927226548,251.68258789629053,0.26358425380334094,0.0,7,20,260,7,20,260,22.092167377471924,250
40,-6.306075514569852,-3.758358382360881,253.49441852917056,0.26548176307283333,0.0,7,20,260,7,20,260,22.290587425231934,250
41,-6.323423270202749,-3.7884237135973575,254.89931754125996,0.2669530975864113,0.0,7,20,260,7,20,260,22.509430408477783,250
42,-6.363325973409088,-3.816465844103837,255.89513193807278,0.26799600253796774,0.0,7,20,260,7,20,260,22.74392318725586,250
43,-6.3787031256155196,-3.8409620865039535,256.48297423819173,0.2686116430552832,0.0,7,20,260,7,20,260,22.8764431476593,250
44,-6.458921378169338,-3.8468255733821284,256.66719734941336,0.26880457788810397,0.0,7,20,260,7,20,260,23.027695655822754,249
45,-6.477348587306189,-3.8452277778068518,256.45534076277903,0.2685827030577769,0.0,7,20,260,7,20,260,23.143827199935913,250
46,-6.444990531806711,-3.839545467377642,255.8580487128181,0.26795716614742293,0.0,7,20,260,7,20,260,23.258761644363403,250
47,-6.414159008346748,-3.822215940081432,254.8889611983491,0.26694225216928863,0.0,7,20,260,7,20,260,23.3779239654541,250
48,-6.3607301635715805,-3.8032039646340183,253.5645789947771,0.26555524219369414,0.0,7,20,260,7,20,260,23.608994722366333,249
49,-6.245221021470791,-3.7731838368822213,251.904104013927,0.2638162461597422,0.0,7,20,260,7,20,260,23.677514791488647,250
50,-6.2093654501026405,-3.748010802219916,249.92925657912005,0.2617480115096287,0.0,7,20,260,7,20,260,23.77707839012146,250
51,-6.143928255268661,-3.7278505852857577,247.66407137962594,0.2593757094941116,0.0,7,20,260,7,20,260,23.896146535873413,250
52,-6.109052955299252,-3.6990843626336996,245.13467404813792,0.25672670118469737,0.0,7,20,260,7,20,260,24.043807983398438,249
53,-6.059355082849117,-3.66108296925457,242.3690404660232,0.25383028539682684,0.0,7,20,260,7,20,260,24.159429788589478,259
54,-5.964681466492884,-3.61369326660015,239.39674104246058,0.25071743087638865,0.0,7,20,260,7,20,260,24.245981216430664,241
55,-5.900808145951547,-3.5634512454179377,236.2486723340536,0.2474204952280594,0.0,7,20,260,7,20,260,24.392234325408936,250
56,-5.834055097229479,-3.511251229241584,232.95677847014088,0.24397293316726848,0.0,7,20,260,7,20,260,24.543083429336548,249
57,-5.774450751110729,-3.4509921725672292,229.553764925071,0.24040899675722738,0.0,7,20,260,7,20,260,24.641621351242065,251
58,-5.615228809352363,-3.3938852962981483,226.07280723161983,0.2367634303478772,0.0,7,20,260,7,20,260,24.82714295387268,250
59,-5.582770606999249,-3.333280504416626,222.54725725917345,0.2330711629644424,0.0,7,20,260,7,20,260,24.944590091705322,250
60,-5.497655531242576,-3.2626479100033317,219.01034968615033,0.22936700089941017,0.0,7,20,260,7,20,260,25.060520887374878,250
61,-5.36107035745654,-3.205172607639668,215.494911278493,0.2256853232432724,0.0,7,20,260,7,20,260,25.108811378479004,250
62,-5.265352258736726,-3.150237182216585,212.03307554520782,0.22205978304659,0.0,7,20,260,7,20,260,25.173070430755615,250
63,-5.199757723941459,-3.0962012413743643,208.6560052783914,0.2185230167393858,0.0,7,20,260,7,20,260,25.276365518569946,249
0,-5.151524456168658,-3.0445676666883346,205.3936253996453,0.2151063643442997,0.0,7,20,260,7,20,260,25.409876823425293,250
1,-5.062088568413583,-2.9986517082278454,202.27436842815462,0.21183960290826553,0.0,7,20,260,7,20,260,25.50914454460144,250
2,-5.01881180464661,-2.963844365672086,199.3249347590655,0.2087506954448413,0.0,7,20,260,7,20,260,25.67563509941101,250
3,-4.959937555999001,-2.9249151563521796,196.57006979539773,0.20586555752705168,0.0,7,20,260,7,20,260,25.794888019561768,250
4,-4.852013333514055,-2.8851554447993726,194.03235981398564,0.20320784350016027,0.0,7,20,260,7,20,260,25.94501042366028,250
5,-4.782528846189875,-2.857212974655539,191.732048267409,0.20079875409681544,0.0,7,20,260,7,20,260,26.15663456916809,250
6,-4.723298989567029,-2.833373302380016,189.68687403125043,0.1986568670352833,0.0,7,20,260,7,20,260,26.243630170822144,250
7,-4.682677607614965,-2.816650979493034,187.91193290110874,0.1967979919668794,0.0,7,20,260,7,20,260,26.405495166778564,250
