"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime']"
33,-5.018136774644782,-4.556936256417584,236.82045589716685,0.2480193151824937,0.0,7,20,260,7,20,260,23.36998987197876,249
34,-5.083625109736788,-4.631586147949703,240.522263889762,0.2518961757694592,0.0,7,20,260,7,20,260,23.535996437072754,251
35,-5.1340389477236155,-4.691309919399458,243.8757315224644,0.2554082235471539,0.0,7,20,260,7,20,260,23.5679030418396,249
36,-5.166926266188119,-4.743799172785867,246.8630183779166,0.2585367744538064,0.0,7,20,260,7,20,260,23.669418811798096,250
37,-5.258420893174676,-4.791898790357712,249.46924019689064,0.26126624037769963,0.0,7,20,260,7,20,260,23.72033953666687,250
38,-5.331330732006349,-4.838950640191267,251.68258789629053,0.26358425380334094,0.0,7,20,260,7,20,260,23.88541865348816,249
39,-5.328074579205275,-4.874840172532156,253.49441852917056,0.26548176307283333,0.0,7,20,260,7,20,260,24.08382248878479,250
40,-5.410895336340538,-4.903340164097886,254.89931754125996,0.2669530975864113,0.0,7,20,260,7,20,260,24.234727382659912,250
41,-5.4027622352796225,-4.915062169069059,255.89513193807278,0.26799600253796774,0.0,7,20,260,7,20,260,24.405838012695312,250
42,-5.416863581085858,-4.929641813645884,256.48297423819173,0.2686116430552832,0.0,7,20,260,7,20,260,24.502755641937256,250
43,-5.422403176400322,-4.939912242675956,256.66719734941336,0.26880457788810397,0.0,7,20,260,7,20,260,24.619353532791138,250
44,-5.401078120120023,-4.942256448442555,256.45534076277903,0.2685827030577769,0.0,7,20,260,7,20,260,24.801461935043335,250
45,-5.380200012434318,-4.929879139591292,255.8580487128181,0.26795716614742293,0.0,7,20,260,7,20,260,24.88619875907898,250
46,-5.325196697654467,-4.90456161152791,254.8889611983491,0.26694225216928863,0.0,7,20,260,7,20,260,25.035219430923462,250
47,-5.386032931016519,-4.8729292960391914,253.5645789947771,0.26555524219369414,0.0,7,20,260,7,20,260,25.18610119819641,249
48,-5.3495101367810385,-4.843412520290596,251.904104013927,0.2638162461597422,0.0,7,20,260,7,20,260,25.43507695198059,250
49,-5.263705788482887,-4.811813637326004,249.92925657912005,0.2617480115096287,0.0,7,20,260,7,20,260,25.52030873298645,250
50,-5.1961520470708376,-4.7722601420331445,247.66407137962594,0.2593757094941116,0.0,7,20,260,7,20,260,25.636171102523804,250
